"GROUP","USEFUL","DIFFICULTY","IMPORTANCE"
1,19.6000003814697,5.15000009536743,9.5
1,15.3999996185303,5.75,9.10000038146973
1,22.2999992370605,4.34999990463257,3.29999995231628
1,24.2999992370605,7.55000019073486,5
1,22.5,8.5,6
1,20.5,10.25,5
1,14.1000003814697,5.94999980926514,18.7999992370605
1,13,6.30000019073486,16.5
1,14.1000003814697,5.44999980926514,8.89999961853027
1,16.7000007629395,3.75,6
1,16.7999992370605,5.09999990463257,7.40000009536743
2,17.1000003814697,9,7.5
2,15.6999998092651,5.30000019073486,8.5
2,14.8999996185303,9.85000038146973,6
2,19.7000007629395,3.59999990463257,2.90000009536743
2,17.2000007629395,4.05000019073486,0.200000002980232
2,16,4.40000009536743,2.59999990463257
2,12.8000001907349,7.15000009536743,7
2,13.6000003814697,7.25,3.20000004768372
2,14.1999998092651,5.30000019073486,6.19999980926514
2,13.1000003814697,3.09999990463257,5.5
2,16.5,2.40000009536743,6.59999990463257
3,16,4.55000019073486,2.90000009536743
3,12.5,2.65000009536743,0.699999988079071
3,18.5,6.5,5.30000019073486
3,19.2000007629395,4.84999990463257,8.30000019073486
3,12,8.75,9
3,13,5.19999980926514,10.3000001907349
3,11.8999996185303,4.75,8.5
3,12,5.84999990463257,9.5
3,19.7999992370605,2.84999990463257,2.29999995231628
3,16.5,6.55000019073486,3.29999995231628
3,17.3999996185303,6.59999990463257,1.89999997615814
